Alt,u,v,temp,bv2
16084.000,-0.344,7.622,-1.088,-0.012
16088.000,-0.331,7.625,-1.082,-0.012
16093.000,-0.318,7.628,-1.076,-0.012
16097.000,-0.322,7.533,-1.069,-0.013
16102.000,0.003,7.478,-1.063,-0.013
16106.000,0.017,7.481,-1.057,-0.012
16111.000,0.030,7.485,-1.051,0.082
16116.000,0.043,7.488,-1.145,0.064
16120.000,0.346,7.330,-1.139,-0.012
16125.000,0.359,7.333,-1.132,-0.011
16129.000,0.372,7.337,-1.126,-0.011
16134.000,0.384,7.340,-1.120,-0.010
16139.000,0.705,7.275,-1.114,-0.012
16143.000,0.717,7.278,-1.108,-0.011
16148.000,0.707,7.184,-1.102,-0.011
16152.000,0.719,7.187,-1.096,-0.012
16157.000,1.012,7.019,-1.090,-0.010
16162.000,1.000,6.925,-1.085,-0.011
16166.000,1.312,6.850,-1.079,-0.012
16171.000,1.298,6.757,-1.073,-0.012
16175.000,1.579,6.581,-1.067,-0.012
16180.000,1.563,6.487,-1.061,-0.010
16185.000,1.547,6.394,-1.055,-0.012
16189.000,1.819,6.215,-1.049,-0.012
16194.000,1.801,6.122,-1.043,-0.012
16198.000,2.067,5.939,-1.037,-0.012
16203.000,2.077,5.942,-1.032,-0.011
16208.000,2.338,5.755,-1.026,-0.013
16212.000,2.316,5.664,-1.020,-0.013
16217.000,2.570,5.474,-1.014,-0.012
16221.000,2.546,5.383,-1.008,-0.012
16226.000,2.829,5.284,-1.002,-0.011
16231.000,2.803,5.195,-0.997,-0.149
16235.000,3.046,4.999,-0.891,-0.167
16240.000,3.018,4.911,-0.885,-0.012
16245.000,3.293,4.805,-0.879,-0.014
16249.000,3.264,4.717,-0.873,-0.014
16254.000,3.274,4.721,-0.868,-0.013
16259.000,3.504,4.520,-0.862,-0.014
16263.000,3.514,4.525,-0.856,-0.015
16268.000,3.484,4.438,-0.850,-0.013
16273.000,3.749,4.326,-0.844,-0.015
16277.000,3.717,4.241,-0.839,-0.015
16282.000,3.979,4.126,-0.833,-0.013
16287.000,3.946,4.041,-0.827,-0.015
16291.000,3.956,4.047,-0.821,-0.015
16296.000,4.169,3.839,-0.816,-0.013
16301.000,4.180,3.845,-0.810,-0.016
16305.000,4.190,3.851,-0.804,-0.016
16310.000,4.398,3.641,-0.798,-0.015
16315.000,4.408,3.648,-0.792,-0.017
16319.000,4.371,3.566,-0.785,-0.017
16324.000,4.621,3.443,-0.779,-0.015
16329.000,4.583,3.362,-0.773,-0.017
16333.000,4.593,3.368,-0.767,-0.017
16338.000,4.839,3.242,-0.761,-0.016
16343.000,4.799,3.162,-0.754,-0.018
16347.000,4.759,3.082,-0.748,-0.018
16352.000,4.719,3.003,-0.742,-0.018
16356.000,4.679,2.923,-0.736,-0.019
16361.000,4.864,2.711,-0.729,-0.016
16366.000,4.823,2.632,-0.723,-0.017
16371.000,4.781,2.554,-0.717,-0.019
16375.000,4.740,2.475,-0.710,-0.020
16380.000,4.698,2.396,-0.704,-0.017
16385.000,4.872,2.185,-0.698,-0.018
16390.000,4.828,2.107,-0.691,-0.021
16394.000,4.785,2.028,-0.685,-0.021
16399.000,4.741,1.950,-0.678,-0.018
16404.000,4.698,1.871,-0.672,-0.019
16409.000,4.860,1.661,-0.665,-0.022
16413.000,4.869,1.667,-0.658,-0.022
16418.000,4.824,1.588,-0.652,-0.020
16423.000,4.778,1.509,-0.645,-0.020
16428.000,4.733,1.430,-0.638,-0.023
16432.000,4.885,1.220,-0.632,-0.023
16437.000,4.838,1.141,-0.625,-0.020
16442.000,4.735,0.980,-0.618,-0.179
16447.000,4.689,0.901,-0.512,-0.199
16451.000,4.641,0.821,-0.505,-0.029
16456.000,4.781,0.613,-0.498,-0.026
16461.000,4.733,0.534,-0.492,-0.026
16466.000,4.627,0.373,-0.485,-0.031
16470.000,4.578,0.293,-0.478,-0.032
16475.000,4.707,0.087,-0.471,-0.028
16480.000,4.657,0.009,-0.465,-0.028
16485.000,4.607,-0.070,-0.458,-0.032
16489.000,4.498,-0.229,-0.451,-0.033
16494.000,4.617,-0.433,-0.445,-0.029
16499.000,4.566,-0.511,-0.438,-0.030
16504.000,4.514,-0.589,-0.431,-0.035
16508.000,4.463,-0.666,-0.424,-0.036
