Alt,u,v,temp,bv2
17877.000,6.490,0.695,-2.400,0.000
17882.000,6.538,0.491,-2.402,0.000
17887.000,6.473,0.445,-2.403,0.001
17892.000,6.516,0.243,-2.404,0.000
17897.000,6.451,0.198,-2.405,0.000
17902.000,6.488,-0.001,-2.406,0.001
17907.000,6.422,-0.044,-2.408,0.000
17912.000,6.368,-0.294,-2.409,0.000
17917.000,6.302,-0.336,-2.410,0.001
17922.000,6.327,-0.529,-2.412,0.000
17927.000,6.174,-0.621,-2.413,0.001
17932.000,6.107,-0.859,-2.315,0.001
17937.000,5.866,-0.999,-2.316,0.000
17942.000,5.711,-1.089,-2.318,0.000
17947.000,5.634,-1.316,-2.319,0.001
17952.000,5.477,-1.403,-2.321,0.000
17957.000,5.234,-1.539,-2.322,0.000
17962.000,5.147,-1.754,-2.324,0.001
17967.000,4.989,-1.839,-2.325,0.001
17973.000,4.831,-1.924,-2.227,0.001
17978.000,4.646,-2.174,-2.229,0.001
17983.000,4.487,-2.256,-2.230,0.000
17988.000,4.384,-2.451,-2.232,0.000
17993.000,4.223,-2.531,-2.233,0.001
17998.000,4.023,-2.760,-2.135,0.001
18003.000,3.908,-2.940,-2.137,0.000
18008.000,3.744,-3.014,-2.138,0.001
18013.000,3.623,-3.186,-2.140,0.000
18018.000,3.498,-3.352,-2.142,0.001
18023.000,3.239,-3.457,-2.043,0.001
18028.000,3.200,-3.577,-2.045,0.000
18033.000,3.033,-3.642,-2.047,0.000
18038.000,2.959,-3.670,-2.048,0.001
18043.000,2.791,-3.735,-1.950,0.001
18048.000,2.653,-3.878,-1.952,0.000
18053.000,2.578,-3.905,-1.953,0.001
18058.000,2.409,-3.966,-1.855,0.001
18063.000,2.240,-4.027,-1.857,0.000
18068.000,2.189,-4.124,-1.858,0.001
18073.000,2.019,-4.181,-1.760,0.001
18078.000,1.849,-4.239,-1.761,0.000
18084.000,1.793,-4.326,-1.763,0.001
18089.000,1.622,-4.381,-1.664,0.001
18094.000,1.468,-4.490,-1.666,0.000
18099.000,1.391,-4.512,-1.667,0.001
18104.000,1.233,-4.614,-1.669,0.001
18109.000,1.156,-4.634,-1.570,0.001
18114.000,0.995,-4.727,-1.572,0.001
18119.000,0.831,-4.814,-1.573,0.000
18124.000,0.763,-4.872,-1.575,0.001
18129.000,0.665,-4.809,-1.476,0.001
18134.000,0.650,-4.687,-1.477,0.000
18139.000,0.642,-4.603,-1.479,0.001
18144.000,0.525,-4.523,-1.480,0.001
18149.000,0.479,-4.377,-1.382,0.001
18154.000,0.424,-4.235,-1.383,0.001
18159.000,0.277,-4.156,-1.384,0.000
18164.000,0.185,-4.003,-1.386,0.001
18169.000,0.080,-3.860,-1.287,0.001
18175.000,-0.127,-3.783,-1.288,0.000
18180.000,-0.277,-3.653,-1.290,0.000
18185.000,-0.439,-3.540,-1.291,0.001
18190.000,-0.678,-3.529,-1.193,0.001
18195.000,-0.881,-3.456,-1.194,0.000
18200.000,-1.058,-3.414,-1.195,0.000
18205.000,-1.238,-3.492,-1.196,0.000
18210.000,-1.407,-3.491,-1.198,0.001
18215.000,-1.544,-3.504,-1.099,0.001
18220.000,-1.623,-3.620,-1.100,0.000
18225.000,-1.746,-3.655,-1.102,0.001
18230.000,-1.788,-3.564,-1.103,0.000
18235.000,-1.903,-3.394,-1.105,0.001
18240.000,-1.955,-3.309,-1.006,0.001
18245.000,-2.045,-3.241,-1.007,0.000
18250.000,-2.148,-3.072,-1.009,0.001
18255.000,-2.212,-2.995,-1.010,0.000
18260.000,-2.238,-2.900,-1.012,0.000
18265.000,-2.307,-2.827,-1.013,0.001
18270.000,-2.426,-2.668,-1.014,0.000
18275.000,-2.502,-2.601,-1.016,0.000
18280.000,-2.533,-2.508,-1.017,0.000
18285.000,-2.665,-2.359,-1.019,0.000
18290.000,-2.698,-2.268,-1.020,0.001
18295.000,-2.783,-2.209,-0.922,0.001
18300.000,-2.871,-2.034,-0.923,0.000
18305.000,-2.906,-1.944,-0.925,0.000
18310.000,-2.999,-1.891,-1.026,-0.000
18315.000,-3.090,-1.718,-1.028,0.000
18320.000,-3.127,-1.630,-1.030,0.000
18325.000,-3.226,-1.582,-1.031,0.000
18330.000,-3.201,-1.453,-1.033,0.001
18335.000,-3.172,-1.322,-1.035,0.000
18339.000,-3.140,-1.191,-1.036,0.000
18344.000,-3.053,-1.145,-1.038,0.001
18349.000,-3.086,-1.054,-1.039,0.000
18354.000,-3.047,-0.922,-1.041,0.000
18359.000,-3.003,-0.789,-1.043,0.000
18364.000,-2.987,-0.785,-1.045,0.000
18369.000,-2.940,-0.652,-1.046,0.001
18374.000,-2.889,-0.519,-1.048,0.000
18379.000,-2.917,-0.425,-1.050,0.000
18384.000,-2.819,-0.381,-1.051,0.000
18389.000,-2.761,-0.248,-1.053,0.000
18394.000,-2.785,-0.152,-1.055,0.001
